Name,Year,Durasi(Menit),Rating,Rated
The Shawshank Redemption,1994,142,9.3,R
The Godfather,1972,175,9.3,R
The Dark Knight,2008,152,9.3,PG-13
The Godfather Part II,1974,202,9.3,R
Angry Men,1957,96,9.3,Approved
Schindler's List,1993,195,9.3,R
The Lord of the Rings: The Return of the King,2003,201,9.3,PG-13
Pulp Fiction,1994,154,9.3,R
The Lord of the Rings: The Fellowship of the Ring,2001,178,9.3,PG-13
The Good: the Bad and the Ugly,1966,178,9.3,R
Forrest Gump,1994,142,9.3,PG-13
The Lord of the Rings: The Two Towers,2002,179,9.3,PG-13
Fight Club,1999,139,9.3,R
Inception,2010,148,9.3,PG-13
Star Wars: Episode V - The Empire Strikes Back,1980,124,9.3,PG
The Matrix,1999,136,9.3,R
Goodfellas,1990,145,9.3,R
One Flew Over the Cuckoo's Nest,1975,133,9.3,R
Se7en,1995,127,9.3,R
Interstellar,2014,169,9.3,PG-13
It's a Wonderful Life,1946,130,9.3,PG
Seven Samurai,1954,207,9.3,Not Rated
The Silence of the Lambs,1991,118,9.3,R
Saving Private Ryan,1998,169,9.3,R
City of God,2002,130,9.3,R
Life Is Beautiful,1997,116,9.3,PG-13
The Green Mile,1999,189,9.3,R
Terminator Judgment Day,1991,137,9.3,R
Star Wars: Episode IV - A New Hope,1977,121,9.3,PG
Dune: Part Two,2024,166,9.3,PG-13
Back to the Future,1985,116,9.3,PG
Spirited Away,2001,125,9.3,PG
The Pianist,2002,150,9.3,R
Parasite,2019,132,9.3,R
Psycho,1960,109,9.3,R
Gladiator,2000,155,9.3,R
Spider-Man: Across the Spider-Verse,2023,140,9.3,PG
The Lion King,1994,88,9.3,G
The Departed,2006,151,9.3,R
L�on: The Professional,1994,110,9.3,R
American History X,1998,119,9.3,R
Whiplash,2014,106,9.3,R
The Prestige,2006,130,9.3,PG-13
Grave of the Fireflies,1988,89,9.3,Not Rated
Harakiri,1962,133,9.3,Not Rated
The Usual Suspects,1995,106,9.3,R
Casablanca,1942,102,9.3,PG
The Intouchables,2011,112,9.3,R
Cinema Paradiso,1988,174,9.3,PG
Modern Times,1936,87,9.3,G
Rear Window,1954,112,9.3,PG
Once Upon a Time in the West,1968,166,9.3,PG-13
Alien,1979,117,9.3,R
City Lights,1931,87,9.3,G
Django Unchained,2012,165,9.3,R
Apocalypse Now,1979,147,9.3,R
Memento,2000,113,9.3,R
WALL�E,2008,98,9.3,G
12th Fail,2023,147,9.3,None
Raiders of the Lost Ark,1981,115,9.3,PG
The Lives of Others,2006,137,9.3,R
Sunset Boulevard,1950,110,9.3,Approved
Avengers: Infinity War,2018,149,9.3,PG-13
Paths of Glory,1957,88,9.3,Approved
Spider-Man: Into the Spider-Verse,2018,117,9.3,PG
Witness for the Prosecution,1957,116,9.3,Approved
The Shining,1980,146,9.3,R
The Great Dictator,1940,125,9.3,G
Aliens,1986,137,9.3,R
Inglourious Basterds,2009,153,9.3,R
The Dark Knight Rises,2012,164,9.3,PG-13
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,9.3,PG
Coco,2017,105,9.3,PG
Oldboy,2003,,9.3,R
American Beauty,1999,122,9.3,R
Amadeus,1984,160,9.3,PG
Toy Story,1995,81,9.3,G
Avengers: Endgame,2019,181,9.3,PG-13
Das Boot,1981,149,9.3,None
Braveheart,1995,178,9.3,R
Good Will Hunting,1997,126,9.3,R
Princess Mononoke,1997,134,9.3,PG-13
Joker,2019,122,9.3,R
Your Name.,2016,106,9.3,None
High and Low,1963,143,9.3,Not Rated
Once Upon a Time in America,1984,229,9.3,R
3 Idiots,2009,170,9.3,PG-13
Singin' in the Rain,1952,103,9.3,G
Capernaum,2018,126,9.3,R
Come and See,1985,142,9.3,Not Rated
Requiem for a Dream,2000,102,9.3,NC-17
Toy Story 3,2010,103,9.3,G
Star Wars: Episode VI - Return of the Jedi,1983,131,9.3,PG
Eternal Sunshine of the Spotless Mind,2004,108,9.3,R
The Hunt,2012,115,9.3,R
A Space Odyssey,1968,149,9.3,G
Reservoir Dogs,1992,99,9.3,R
Ikiru,1952,143,9.3,Not Rated
Oppenheimer,2023,,9.3,R
Lawrence of Arabia,1962,218,9.3,PG
The Apartment,1960,125,9.3,Approved
Incendies,2010,131,9.3,R
North by Northwest,1959,136,9.3,Approved
Citizen Kane,1941,119,9.3,PG
M,1931,99,9.3,Passed
Scarface,1983,170,9.3,R
Double Indemnity,1944,107,9.3,Approved
Vertigo,1958,128,9.3,PG
Full Metal Jacket,1987,116,9.3,R
Am�lie,2001,122,9.3,R
Heat,1995,170,9.3,R
Up,2009,96,9.3,PG
A Clockwork Orange,1971,136,9.3,R
To Kill a Mockingbird,1962,129,9.3,Approved
A Separation,2011,123,9.3,PG-13
The Sting,1973,129,9.3,PG
Indiana Jones and the Last Crusade,1989,127,9.3,PG-13
Die Hard,1988,132,9.3,R
Like Stars on Earth,2007,162,9.3,PG
Metropolis,1927,153,9.3,Not Rated
Snatch,2000,102,9.3,R
L.A. Confidential,1997,138,9.3,R
1917,2019,119,9.3,R
Hamilton,2020,160,9.3,PG-13
Bicycle Thieves,1948,89,9.3,Not Rated
Taxi Driver,1976,114,9.3,R
Downfall,2004,156,9.3,R
Dangal,2016,161,9.3,Not Rated
